ca_pa,status,raise_date,target_date,audit,source,ower,deatails,root_cause_details,root_cause_completed_by,root_cause_target_date,root_cause_closed_date,corrective_action_details,corrective_action_completed_by,corrective_action_target_date,corrective_action_closed_date,preventive_action_details,preventive_action_completed_by,preventive_action_target_date,preventive_action_closed_date,follow_up_details,follow_up_completed_by,follow_up_target_date,follow_up_closed_date,accesptance_action_details,accesptance_action_completed_by,accesptance_action_target_date,accesptance_action_closed_date,implementing_action_details,implementing_action_completed_by,implementing_action_target_date,implementing_action_closed_date,
CA/PA-348,Closed,2/23/2023,3/13/2023,"AUD263 - Azerbaijan Airlines (CAMO-001), Reliability Programme Survey (Airbus A319/A320/A340)",AZAL Audit/Inspection,"Latifov, Karim A","1. Təşkilat AAR-M Appendix I to AMC M.302 6.2.2 bəndinin tələblərini tam yerinə yetirmir. 4K-Aİ08, 4K-Aİ07 və 4K-8888 qeydiyyat nişanlı hava gəmiləri üçün etibarlılıq hesabatları yoxdur.","Etibarlılıq üzrə mühəndisinə 4K-Aİ08, 4K-Aİ07, 4K-8888 qeydiyyat nişanlı hava gəmiləri üçün xüsusi icazələr veriləcək və onlar bu hava gəmilərinin etibarlılıq hesabatlarını aparacaqlar.","AZAL, Auditee",3/13/2023,4/7/2025,"To be provided by audited organization (person)
AAR-M tələblərinə uyğun olaraq etibarlılıq üzrə mühəndisə daxili təlim keçiriləcək.","AZAL, Auditee",3/13/2023,,Accepted,"Latifov, Karim A",3/13/2023,,None,None,None,None,Not required,"Latifov, Karim A",,3/27/2023,None,None,None,None,
CA/PA-349,Closed,2/23/2023,10/1/2023,"AUD263 - Azerbaijan Airlines (CAMO-001), Reliability Programme Survey (Airbus A319/A320/A340)",AZAL Audit/Inspection,"Latifov, Karim A","2. Təşkilat AAR-M Appendix I to AMC M.302 6.5.4. bəndinin tələblərini tam yerinə yetirmir. Etibarlılıq məlumatlarının əldə olunması proseduru nə CAME-də nədə ki, MP-lərdə əks olunmayıb. Yoxlama zamanı məlumatların e-mail və Amasis proqram təminatı vasitəsi ilə əldə olunması bildirildi və nümayiş etdirildi.","Part-M, Part-CAMO və etibarlılıq proqramı tələbləri üzrə təlimin və etibarlılıq proqramı üçün prosedurun olmaması.","AZAL, Auditee",3/13/2023,4/7/2025,"Part M, PART-CAMO üzrə təlim keçirilib (03-08 Avqust 2023). Etibarlılıq proqramı təlimi 2023-cü il sentyabr ayında keçiriləcək. Etibarlılıq məlumatlarının alınması, habelə bütün etibarlılıq üzrə prosesi ətraflı təsvir edən etibarlıq proqramı üçün etibarlılıq proseduru sentaybr ayının 15-nə kimi yaradılacaq.","AZAL, Auditee",3/13/2023,,Yeni yaradılmış etibarlılıq proseduru əsasında oktybar ayının 1-nə kimi aidiyyatı şəxslərə təlim keçiriləcək .,"AZAL, Auditee",3/13/2023,,None,None,None,None,Accepted,"Latifov, Karim A",8/28/2023,8/28/2023,Prosedur əlavə olundu,"Latifov, Karim A",10/1/2023,11/3/2023,
CA/PA-350,Closed,2/23/2023,10/1/2023,"AUD263 - Azerbaijan Airlines (CAMO-001), Reliability Programme Survey (Airbus A319/A320/A340)",AZAL Audit/Inspection,"Latifov, Karim A","3. Təşkilat AAR-M Appendix I to AMC M.302 6.5.6. bəndinin tələblərini tam yerinə yetirmir. Yığılmış məlumatların tədqiqi, təhlili və şərhi üçün istifadə olunan üsul CAME-də mövcud deyil.","Part-M, Part-CAMO və etibarlılıq proqramı tələbləri üzrə təlimin və etibarlılıq proqramı üçün prosedurun olmaması.","AZAL, Auditee",3/13/2023,4/7/2025,"Part M, PART-CAMO üzrə təlim keçirilib (03-08 Avqust 2023). Etibarlılıq proqramı təlimi 2023-cü il sentyabr ayında keçiriləcək. Yığılmış məlumatların tədqiqi, təhlili və şərhi üçün istifadə olunan üsulları habelə bütün etibarlılıq üzrə prosesi ətraflı təsvir edən etibarlılıq proqramı üçün etibarlılıq proseduru sentaybr ayının 15-nə kimi yaradılacaq.","AZAL, Auditee",3/13/2023,,Yeni yaradılmış etibarlılıq proseduru əsasında oktybar ayının 1-nə kimi aidiyyatı şəxslərə təlim keçiriləcək .,"AZAL, Auditee",2/13/2023,,None,None,None,None,Accepted,"Latifov, Karim A",8/28/2023,8/28/2023,Prosedur və sertifikatlar əlavə olundu,"Latifov, Karim A",10/1/2023,11/3/2023,
CA/PA-351,Closed,2/23/2023,8/31/2023,"AUD263 - Azerbaijan Airlines (CAMO-001), Reliability Programme Survey (Airbus A319/A320/A340)",AZAL Audit/Inspection,"Latifov, Karim A","4. Təşkilat AAR-M Appendix I to AMC M.302 6.5.9. bəndinin tələblərini tam yerinə yetirmir. Etibarlılıq hesabatlarının DMAA-ya göndərilməsi CAME-nin 1.10-cu bəndində əks olunmasına baxmayaraq, hesabatlar DMAA-ya göndərilmir.",Etibarlılıq hesabatının təqdimat siyahısında bu hesabatın hər ay DMAA-ya təqdim edilməli olduğu barədə məlumatın olmaması.,"AZAL, Auditee",3/13/2023,4/7/2025,Etibarlılıq hesabatları Q-pulse sistem vasitəsilə hər ay DMAA-ya göndərilməsi təmin olunub (AZAL-184),"AZAL, Auditee",2/13/2023,,"Bu vəziyyətin təkrarlanmaması üçün texniki kitabxana prosedurunun kitabxanaçının məsuliyyətləri bölməsində sənədlərin siyahısına, etibarlılıq hesabatı ilə bağlı bənd əlavə olunacaq və bu bəndə əsasən kitabxanaçı etibarlılıq hesabatlarını aylıq DMAA-ya Q-pulse sistem vasitəsi ilə göndərəcək.","AZAL, Auditee",3/31/2023,,None,None,None,None,Accepted,"Latifov, Karim A",8/28/2023,8/28/2023,Received via Q-Pulse,"Latifov, Karim A",8/28/2023,8/28/2023,
CA/PA-375,Closed,5/10/2023,6/10/2023,"AUD353 - Azerbaijan Airlines (CAMO-001), ACAM In-depth Survey (Gulfstream G550/G650)",AZAL Audit/Inspection,"Hasanov, Oktay",The maintenance program for aircraft Gulfstream (G550) was not updated with latest AMM revision 37 dated 30.10.2022.,"To be provided by audited organization (person)
Due to work load of the staff the revision of MP  was not done  on time","AZAL, Auditee",5/19/2023,4/7/2025,"To be provided by audited organization (person)
The MP was updated as per AMM","AZAL, Auditee",6/10/2023,,"To be provided by audited organization (person)
The appropriate job will be managed correctly to avoid same non- conformity ","AZAL, Auditee",6/10/2023,,Not requiring.,"Hasanov, Oktay",5/26/2023,5/30/2023,Provided updated and an approved MP,"Hasanov, Oktay",5/26/2023,5/30/2023,Updated and an approved MP with last revision AMM.,"Hasanov, Oktay",5/26/2023,5/30/2023,
CA/PA-257,Closed,11/29/2022,12/27/2022,"AUD300 - Foreign Aircraft Survey, Boeing B787-8 (VP-BBR)",CA/PA,"Latifov, Karim A","F5. Again, wrong TC number is indicated in “TC extension Approval form” APP №269 dated 18.10.2022. IAW MP DI of Horizontal Stabilizer Ballscrew should be performed based on TC 27-300-00 whereas extended TC number was indicated 27-300-00-01 in “TC extension Approval form”. TC  27-300-00-01 is absent in MP.","Mistake from person issued TC extension form.
Human factor","AZAL, Auditee",12/23/2022,4/7/2025,"Incorrect TC reference will be reviewed and corrected
Incorrect TC reference will be reviewed and corrected up to
30.01.2023","AZAL, Auditee",12/23/2022,,More strict control will be provided in future ,"AZAL, Auditee",12/23/2022,,None,None,None,None,Evidence of correction action (updated TC ext. form) has been received,"Latifov, Karim A",12/27/2022,2/15/2023,None,None,None,None,
CA/PA-280,Closed,12/29/2022,1/27/2023,"AUD325 - ACAM + RAMP inspection of AZAL CAMO (A319-111, 4K-AZ05)",AZAL Audit/Inspection,"Hasanov, Oktay",The organization cannot fully demonstrate compliance with point AAR.M.A.303.- Aircraft AD Status – AD could not be “Rejected”.," Inappropriate automation, function of the software ""AMASIS""","AZAL, Auditee",1/27/2023,4/7/2025,The issue was corrected and raised,"AZAL, Auditee",1/27/2023,,The control over AMASIS software will be strenghened.,"AZAL, Auditee",1/27/2023,,None,None,None,None,AD status is provided,"Hasanov, Oktay",2/7/2023,2/7/2023,None,None,None,None,
CA/PA-281,Closed,12/29/2022,1/27/2023,"AUD325 - ACAM + RAMP inspection of AZAL CAMO (A319-111, 4K-AZ05)",AZAL Audit/Inspection,"Hasanov, Oktay",The organization cannot fully demonstrate compliance with point AAR.M.A.305(d)(5). – Numbers of work orders are indicated incorrectly in the DBC items 27 and 28.,The raised non-confirmance was overlooked by staff,"AZAL, Auditee",1/27/2023,4/7/2025,The datas was corrected appropriately,"AZAL, Auditee",1/27/2023,,The staff was informed about thorough inspection.,"AZAL, Auditee",1/27/2023,,None,None,None,None,Provided updated DBC.,"Hasanov, Oktay",2/3/2023,2/3/2023,None,None,None,None,
CA/PA-282,Closed,12/29/2022,1/27/2023,"AUD325 - ACAM + RAMP inspection of AZAL CAMO (A319-111, 4K-AZ05)",AZAL Audit/Inspection,"Hasanov, Oktay","The organization cannot fully demonstrate compliance with point AAR.M.A.710.- Some placards located on the fuselage are damaged and some identification labels and warning inscriptions are unreadable on the fuselage and left power plant.  (attachments 3, 3.1, 3.2, 3.3)","due to the difference in temperature, humidity on the ground and air, the  placards  located on the outside of the aircraft quickly become unusable","AZAL, Auditee",1/27/2023,4/7/2025,The placards were ordered and  was issued NRC for correction purposes,"AZAL, Auditee",1/27/2023,,technicians are instructed to increase control over placards,"AZAL, Auditee",1/27/2023,,None,None,None,None,NRC provided. Attached to Properties,"Hasanov, Oktay",2/1/2023,2/1/2023,None,None,None,None,
CA/PA-283,Closed,12/29/2022,1/27/2023,"AUD325 - ACAM + RAMP inspection of AZAL CAMO (A319-111, 4K-AZ05)",AZAL Audit/Inspection,"Hasanov, Oktay","The organization cannot fully demonstrate compliance with point AAR.M.A.710.- Sealing is damaged on the bottom of the left wing. (attachments 5, 5.1, 5.2)"," Misperception of operational conditions, incorrect interpretation and understanding      ","AZAL, Auditee",1/27/2023,4/7/2025,The NRC was issued.,"AZAL, Auditee",1/27/2023,,The inspection will be strengthened.,"AZAL, Auditee",1/27/2023,,None,None,None,None,Provided NRC. Attached to properties.,"Hasanov, Oktay",2/3/2023,2/3/2023,None,None,None,None,
CA/PA-284,Closed,12/29/2022,1/27/2023,"AUD325 - ACAM + RAMP inspection of AZAL CAMO (A319-111, 4K-AZ05)",AZAL Audit/Inspection,"Hasanov, Oktay",The organization cannot fully demonstrate compliance with point AAR.M.A.710.- On the lower side of the left wing was observed some paint peeling. (attachment 2), Task misprioritization,"AZAL, Auditee",1/27/2023,4/28/2025,Paint peeling repaired.,"AZAL, Auditee",1/27/2023,,The control will be more strict in future,"AZAL, Auditee",1/27/2023,,None,None,None,None,Provided NRC.,"Hasanov, Oktay",2/3/2023,2/3/2023,None,None,None,None,
CA/PA-337,Closed,2/13/2023,5/12/2023,AUD270 - Inspection for issue C of A to DA 42 NG # 4K-AZ140,AZAL Audit/Inspection,"Mazanov, Rauf",The navigation database has not been updated for more than 28 days,N/A,"AZAL, Auditee",5/12/2023,4/7/2025,"To be provided by audited organization (person)
The navigation database has  been updated ","AZAL, Auditee",5/12/2023,,N/A,"AZAL, Auditee",5/12/2023,,None,None,None,None,Accepted,"Mazanov, Rauf",5/12/2023,4/5/2023,The navigation databaseis provided,"Mazanov, Rauf",5/12/2023,4/5/2023,
CA/PA-338,Closed,2/13/2023,5/12/2023,AUD270 - Inspection for issue C of A to DA 42 NG # 4K-AZ140,AZAL Audit/Inspection,"Mazanov, Rauf","The calibration of the magnetic compass is overdue. Furthermore, the attached label displays the previous registration number.",N/A,"AZAL, Auditee",5/12/2023,4/7/2025,"To be provided by audited organization (person)
The calibration of the magnetic compass was performed (evidence attached)","AZAL, Auditee",5/12/2023,,N/A,"AZAL, Auditee",5/12/2023,,None,None,None,None,Accepted,"Mazanov, Rauf",5/12/2023,4/5/2023,The calibration of the magnetic compass is provided,"Mazanov, Rauf",5/12/2023,4/5/2023,
CA/PA-401,Closed,3/30/2023,4/6/2023,AUD352 - Cabin-En-Route Inspection B 787 VP-BBS,AZAL Audit/Inspection,"AZAL, Auditee",Finding description:,"N/A, as there was no any finding mentioned in the official checklist during this inspection. As well it is not mentioned in the ""Finding description"". ","Huseynov, Mahammad",4/6/2023,4/28/2025,"N/A, as there was no any finding mentioned in the official checklist during this inspection. As well it is not mentioned in the ""Finding description"". ","Huseynov, Mahammad",4/6/2023,,"N/A, as there was no any finding mentioned in the official checklist during this inspection. As well it is not mentioned in the ""Finding description"". ","Huseynov, Mahammad",4/6/2023,,Accepted the follow change,"Murtuzov, Salman",7/8/2023,4/19/2024,,"Murtuzov, Salman",4/7/2023,4/19/2024,LOPA for B 787 BBS  updated and Doctor kit label removed,"AZAL, Auditee",7/7/2023,4/19/2024,
CA/PA-377,Closed,5/15/2023,2/1/2024,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee","Uçuş heyətlərini uçuşlara planlaşdıran mütəxəssislərə uçuş heyətlərinin ixtisaslarının və səriştəsinin müəyyən edilməsi üzrə təlimin keçirildiyini müəyyən etmək mümkün olmamışdır. Bundan əlavə, Aerodromların təsnifatlandırılması (Categorization of Aerodromes) qəbul edilmiş prosedura uyğun həyata keçirilmir. Aviaşirkətin istifadə etdiyi   “Meridian”   proqramı bu imkanlara malikdir. Lakin effektiv tətbiq edilmədiyi müəyyən edilmişdir. Təsnifatlanmış   Aerodromların   siyahısı   “Uçuşların   İcrası   üzrə Təlimatın A Hissəsi”ndə (“OM Part A”) mövcud deyil (isitinad – AAR-OPS1 1.975. (Route and Aerodrome Competence Qualification).","Human and organizational factors - lack of managerial control within the department, weak double check procedures, not using ""Meridian"" program capability in full.","Huseynov, Mahammad",,4/7/2025,"1) Related training will be provided for specialists of the Flight Crew Planning Division.
2) OM-C will be amended, as it is required, and duly disseminated on ""need-to-know"" basis after its respective approval by the SCAA.
3) ""Meridian"" program will be duly set to assist in control over airport categorization training of flight crew.","Huseynov, Mahammad",,,"""Meridian"" program will be duly set to assist in control over airport categorization training of flight crew.","Huseynov, Mahammad",,,follow up is required,"Abdullayev, Emil",10/4/2023,2/1/2024,Postponed,"Abdullayev, Emil",6/15/2023,6/30/2023,"Evidence of the corrective and preventive actions is uploaded to the ""Properties"" part.","Huseynov, Mahammad",,8/23/2023,
CA/PA-378,Closed,5/16/2023,1/23/2024,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee",Hava gəmisini idarə edən kapitana marşrut və aerodromlar üzrə ixtisas yoxlanışı keçirilmir. Təsnifatlanmış aerodromlar Uçuşların İcrası üzrə Təlimatda (OM-A) mövcud deyil,"Human and organisational factors - lack of managerial control within the department, weak double check procedures.","Huseynov, Mahammad",,4/7/2025,"1) OM-C will be amended, as it is required, and duly disseminated on ""need-to-know"" basis after respective approval of by the SCAA.
2) ""Meridian"" program will be properly set in a manner to assist controlling airport categorization training of flight crew.","Huseynov, Mahammad",,,"""Meridian"" program will be properly set in a manner to assist controlling airport categorization training of flight crew.","Huseynov, Mahammad",,,,"Abdullayev, Emil",10/6/2023,2/22/2024,,"Aliyev, Said",8/1/2023,12/20/2023,"Operations Manual Part C Ed.6 Chapter 12.3 ""Category C Aerodromes"" uploaded.","AZAL, Auditee",1/23/2024,1/23/2024,
CA/PA-387,Closed,5/16/2023,1/23/2024,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee","AMC1 ORO.AOC.130(g) ilə bağlı ORO.AOC.130-a uyğun olaraq operatorun sənədlərinə daxil edilməli olan ifadə SMSM-ə daxil edilməmişdir (Nəşr 5): Əgər uçuş heyətinin üzvü FDM ilə əlaqəli Vacib Hadisə Hesabatını tərtib etməyibsə, təhlükə, insidentlər və qəzalar barədə hesabat vermək və təhlil etmək üçün adi prosesə müvafiq olaraq retrospektiv hesabat təqdim etməlidir (istinad –AMC1 ORO.AOC.130(g) ilə bağlı ORO.AOC.130-a uyğun olaraq).","Human factor - misunderstanding of the requirement, as safety-responsible personnel had implied that the related information in the SMSM would be enough.","Huseynov, Mahammad",,4/7/2025,"The SMSM will be amended accordingly, however, its revision is delayed due to ongoing work of the IATA Consultancy team.","Huseynov, Mahammad",,,"More attention will be paid to precise legislation requirements, especially ""key words"", in the future.","Huseynov, Mahammad",,,follow up is required,"Abdullayev, Emil",10/6/2023,2/1/2024,,"Aliyev, Said",10/6/2023,12/20/2023,SMS Manual Ed.6 Ch.12.1 with information regarding FDM-related mandatory occurrence report uploaded.,"AZAL, Auditee",1/23/2024,1/23/2024,
CA/PA-388,Closed,5/16/2023,1/24/2024,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee","AMC1 ORO.AOC.130(k) ilə əlaqədar ORO.AOC.130-a uyğun olaraq ekipaj üzvlərinin şəxsiyyətinin açıqlanmasının qarşısını almaq üçün proseduru nəzərdə tutan və bütün maraqlı tərəflərin imzalamalı olduğu müqavilə (hava şirkətinin rəhbərliyi, şirkət və ya uçuş heyətinin üzvləri tərəfindən təyin olunmuş nümayəndələri) mövcud deyil (istinad - AMC1 ORO.AOC.130(k) ilə əlaqədar ORO.AOC.130-a uyğun olaraq).",Lack of organizational aspect.,"Huseynov, Mahammad",,4/7/2025,"Required agreement will be prepared and signed, as requested.","Huseynov, Mahammad",,,"More attention will be given to implementation of legislative requirements in time for the future, both, from the side of operational structures within the airline and the Quality Department of the AZAL PAC.","Huseynov, Mahammad",,,,"Aliyev, Said",10/6/2023,2/21/2024,,"Aliyev, Said",10/6/2023,12/20/2023,"Agreement between AZAL and AZAL Flight Crew Member concerning handling, use and disposition of collected Aircraft Flight Data, dated 05 November 2023 uploaded. List of pilots who signed agreements uploaded.","AZAL, Auditee",1/24/2024,1/24/2024,
CA/PA-389,Closed,5/16/2023,1/22/2024,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee",CAT.GEN.MPA.215-ə uyğun olaraq dəstək proqramı xidmət təminatçısı tərəfindən dərc olunmayıb (istinad – CAT.GEN.MPA.215).,RM01 – Insufficient human resources,"AZAL, Auditee",,4/7/2025,Dəstək Proqramının icrası təmin olunacaq.,"AZAL, Auditee",,,Lazımi personal işə qəbul olunacaq.,"AZAL, Auditee",,,closed,"Abdullayev, Emil",10/6/2023,4/10/2025,,"Abdinov, Ruslan N.",10/6/2023,4/10/2025,"Evidence is uploaded to ""Properties"" part.","AZAL, Auditee",4/22/2025,4/15/2025,
CA/PA-390,Closed,5/16/2023,10/6/2023,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZANS, Auditee",ORO.GEN.200-ə uyğun   olaraq   AMC1   ORO.GEN.200(a)(6)(c)(3)(i) ilə bağlı müddəa “keyfiyyətə nəzarət departamenti rəisinin icraçı direktora birbaşa çıxışı olmalıdır” ORO.MLR.100(b) ilə uyğun olmayan xidmət təminatçısının idarəetmə sisteminin sənədlərində əks olunmamışdır (istinad - ORO.GEN.200-ə uyğun olaraq AMC1 ORO.GEN.200(a)(6) (c)(3)(i)).,"Human factor - it is mentioned in the related manual but not so clearly, as it is required.","Huseynov, Mahammad",,4/7/2025,"""Escalation Policy"" will be added to the ""Quality Manual"" and ""Corporate Manual"", however, related revisions are delayed due to ongoing work of IATA Consultancy team in the airline.","Huseynov, Mahammad",,,"More attention will be given to precise documentation of legislative requirements in the future, especially to presence of ""key words"" in the text. The Quality Department will ensure enhanced monitoring over the matter.","Huseynov, Mahammad",,,,"Aliyev, Said",10/6/2023,2/21/2024,,"Aliyev, Said",10/6/2023,12/20/2023,Evidence attached,"AZAL, Auditee",2/5/2024,2/6/2024,
CA/PA-391,Closed,5/16/2023,10/6/2023,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee","Aşkarlanmış daxili nöqsanlar üzrə hesabatlara əlavə edilmiş əsas səbəblər və islahedici tədbirlər planları Keyfiyyət üzrə Təlimatın (Nəşr 10, Reviziya 02), 5.8.4-cü fəsildə nəzərdə tutulan meyarlara cavab vermir","Lack of Root Cause Analysis training of auditors and responsible departmental managers. One case detected during the audit, when CAP date had been marked as later of these for the actual corrective action was related to the extraordinary fact, when the rectification had been done prior writing the CAP.","Huseynov, Mahammad",,4/7/2025,"Required ""Root cause analysis"" training will be provided to all related personnel.","Huseynov, Mahammad",,,More attention will be paid to training issues by operational and monitoring departments within the airline. The matter will be reported to attention of the senior management team. Training process is planned to be consolidated in the future under one corporate structure of the AZAL PAC or AZAL CJSC.,"Huseynov, Mahammad",,,,"Aliyev, Said",10/6/2023,2/21/2024,,"Aliyev, Said",10/6/2023,12/20/2023,Evidence attached,"AZAL, Auditee",2/5/2024,2/6/2024,
CA/PA-392,Closed,5/16/2023,10/6/2023,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee",AMC1 ORO.GEN.200(e) ilə əlaqədar ORO.GEN.200-ə uyğun olaraq xidmət təminatçısının sistem sənədlərində CMM (Compliance Monitoring Manager) üzrə təlim üçün heç bir açıq təlim proqramı müəyyən      edilməmişdir (isitnad -MC1 ORO.GEN.200(e) ilə əlaqədar ORO.GEN.200-ə uyğun olaraq),"Human factor. It is escaped from the view of document editors, which is related to the fact of absence of centralized training control within the airline.","Huseynov, Mahammad",,4/7/2025,"1) Required training will be provided for management personnel of the Quality Department.
2) Syllabus of the training will be added to the ""Quality Manual"" of the airline.","Huseynov, Mahammad",,,"More attention to training issues will be provided on operational, monitoring and managerial levels. Control over training is planned to be consolidated in the future under one corporate structure of the AZAL PAC or AZAL CJSC.","Huseynov, Mahammad",,,,"Aliyev, Said",10/6/2023,2/21/2024,,"Aliyev, Said",10/6/2023,12/20/2023,Evidence attached,"AZAL, Auditee",2/5/2024,2/6/2024,
CA/PA-393,Closed,5/17/2023,3/13/2024,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee","Təhlükəli yük kimi təsnifatlandırılan COMAT yüklərinin emalı ilə bağlı tələblər mövcud deyil (isitinad -
AAR-OPS-1 Bənd 17.3 A) 1).",Human factor - the item escaped the view of the ground handling manager. Lack of control within the sphere.,"Huseynov, Mahammad",,4/7/2025,"""Cargo Operations Manual"" will be revised and duly disseminated after respective approval by the SCAA.","Huseynov, Mahammad",,,More attention will be paid to manual revision/amendment process. It is planned to make related cross-references among manuals after acquisition of appropriate software.,"AZAL, Auditee",4/16/2024,,CA/PA is closed,"Pashayev, Fidel",10/6/2023,4/19/2024,accepted,"Pashayev, Fidel",10/6/2023,4/19/2024,Evidences attached.,"AZAL, Auditee",4/19/2024,4/19/2024,
CA/PA-394,Closed,5/17/2023,4/19/2024,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee","Cargo Operations Manual (COM) və Ground Operations Manual (GOM) sənədlərində təhlükəli yüklərin emal olunmasına dair tələblər fərqlənir və bir-biri iləziddiyyət təşkil edir. (GOM Section 6.12.5.1 Dry ice sərnişinlər 
tərəfindən 2 kq daşına bilən kimi qeyd olunduğu halda GOM Section 6.12.5.2. dry ice 2.5. kq göstərilib).",Human factor - the item escaped the view of the ground handling manager. Lack of control within the sphere.,"Huseynov, Mahammad",,4/7/2025,"Manuals will be compared and revised, as it is required. After approval of the SCAA, renewed information will be duly disseminated to all involved parties.","Huseynov, Mahammad",,,Process of documentation revision will be enhanced. It is planned to created cross-references among related manuals after acquisition of proper software.,"AZAL, Auditee",4/16/2024,,Accepted to close the finding.,"Pashayev, Fidel",10/18/2023,4/19/2024,require preventive action.Provide evidence of soft ware,"Pashayev, Fidel",10/6/2023,2/19/2024,Evidence attached,"AZAL, Auditee",4/19/2024,4/19/2024,
CA/PA-395,Closed,5/17/2023,3/14/2024,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee",“Ground Operations Manual” təhlükəli yüklərlə bağlı sərnişinlərəaid müddəalar IATA-nın Dangerous Goods Regulations (DGR) tələblərinə uyğun olaraq yenilənməyib.,Human factor - the item escaped the view of the ground handling manager. Lack of control within the sphere.,"Huseynov, Mahammad",,4/7/2025,"""Ground Operations Manual"" will be duly revised and disseminated to all related personnel.","Huseynov, Mahammad",,,"The control over the process of documentation amendment will be enhanced from the side of the Quality Department. After acquisition of related software, it is planned to ensure presence of cross-references and other means of monitoring in documentation control sphere.","AZAL, Auditee",4/16/2024,,CA/PA is still open due not enough preventive action.,"Pashayev, Fidel",10/6/2023,5/10/2024,provide with evidence of soft ware,"Pashayev, Fidel",10/6/2023,4/19/2024,Evidence attached,"AZAL, Auditee",4/19/2024,4/19/2024,
CA/PA-379,Closed,5/16/2023,1/25/2024,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee","Naxçıvan Beynəlxalq Hava Limanında Məntəqə yoxlaması (Station facilities inspection) keçirilmişdir və aşağıdakılar müəyyən edilmişdir:
1.Texniki işçi heyət “Airbus 320” tipli hava gəmisinə xidmət göstərmək üçün texniki lisenziyaya malik deyil.
2.Tez xarab olan yüklər düzgün markalanmamış və qablaşdırılmamışdır, eyni zamanda aviaşirkət tərəfindən yüklərə nəzarət lazımi səviyyədə təşkil edilməmişdir.","Lack of control over outstations related to organizational issues. In general, weakness of control and influence measures from the side of the AZAL PAC.","Huseynov, Mahammad",,4/7/2025,"1) Respective training regarding A320 will be provided to the airport related personnel.
2) Related training regarding DG will be provided to all required staff.","Huseynov, Mahammad",,,Control over providers at outstations will be enhanced.,"Huseynov, Mahammad",,,,"Aliyev, Said",10/6/2023,2/21/2024,,"Aliyev, Said",10/6/2023,12/20/2023,Training fro ground handling personnel by in the scope of ramp handling aircraft types was provided at NAJ Airport on 21-23 Dec 2023. Certificates attached.,"AZAL, Auditee",1/25/2024,1/15/2024,
CA/PA-380,Closed,5/16/2023,10/6/2023,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee","“Cabin Crew Handbook (CCH) Part(B)” rəhbər sənədinin A319/320 hava gəmisinə aid olan hissəsində bələdçilərin vəzifə borcları və uçuş şəraitində vəzifələri, habelə bəzi növ qəza avadanlıqlarının (balta, daşına bilən oksigen balonu və s.) təsviri, təcili eniş zamanı hava gəmisini tərk etmə prosedurları, quruya və suya qəza enişi haqqında ətraflı məlumatlar mövcud deyil. Hava gəmisində nasaz qəza-xilasetmə avadanlığı barədə ətraflı məlumatlar qeyd edilməmişdir.",Human factor - the issue had been escaped from the view of the responsible manager.,"Huseynov, Mahammad",,4/7/2025,"CCH-B will be amended, as it is required, and duly disseminated on ""need-to-know"" basis after respective approval by the SCAA.","Huseynov, Mahammad",,,Control over proper revision/edition of manuals will be enhanced by responsible operational structures and Quality Department.,"Huseynov, Mahammad",,,,"Murtuzov, Salman",10/6/2023,9/1/2023,"Cabin Crew  Handbook Part B ""319/320"" sənədinə baxılib və aparılan  dəyişikliklər qənaətbəxşdir.","Murtuzov, Salman",,9/1/2023,"The evidence of the corrective actions is uploaded to the ""Properties"" part of the CA/PA.","AZAL, Auditee",,9/1/2023,
